Date,Open,High,Low,Close,Adj Close,Volume
2017-01-12,82.919998,83.209999,82.379997,82.599998,74.559593,5774300
2017-01-13,82.699997,82.910004,81.750000,81.980003,73.999954,4809200
2017-01-17,81.959999,83.980003,81.910004,83.919998,75.751122,7292700
2017-01-18,84.489998,84.720001,83.199997,83.540001,75.408089,5263100
2017-01-19,83.169998,83.860001,82.320000,83.199997,75.101189,5220700
2017-01-20,83.290001,83.430000,81.309998,81.559998,74.065941,8004100
2017-01-23,81.500000,81.930000,81.019997,81.250000,73.784431,6305900
2017-01-24,81.349998,82.150002,81.120003,81.779999,74.265732,4743700
2017-01-25,81.919998,82.199997,79.419998,79.489998,72.186150,10652200
2017-01-26,79.080002,80.419998,78.440002,79.330002,72.040840,7627500
2017-01-27,79.830002,79.889999,77.029999,77.750000,70.606033,10924400
2017-01-30,77.459999,79.019997,77.320000,78.680000,71.450577,7488500
2017-01-31,78.550003,79.300003,78.510002,78.809998,71.568611,6435200
2017-02-01,78.650002,79.099998,77.690002,77.970001,70.805794,6463100
2017-02-02,76.349998,76.349998,74.050003,74.800003,67.927086,18840200
2017-02-03,75.339996,76.419998,75.279999,75.459999,68.526413,11937000
2017-02-06,75.599998,76.820000,75.529999,76.070000,69.080376,9559500
2017-02-07,76.120003,76.730003,75.500000,76.360001,69.343735,5739900
2017-02-08,76.209999,77.150002,76.129997,77.029999,69.952187,6788500
2017-02-09,77.029999,77.800003,75.209999,77.309998,70.206451,13944000
2017-02-10,77.440002,79.120003,76.949997,78.529999,71.314346,9367000
2017-02-13,78.980003,79.230003,78.349998,78.699997,71.468727,5645800
2017-02-14,78.760002,78.949997,78.059998,78.669998,71.441490,5507600
2017-02-15,78.879997,79.519997,78.830002,79.410004,72.113495,5626300
2017-02-16,79.500000,80.199997,79.260002,79.449997,72.149818,4957500
2017-02-17,79.449997,79.989998,79.320000,79.690002,72.367767,6215700
2017-02-21,79.610001,80.389999,79.129997,79.760002,72.431328,6281000
2017-02-22,79.750000,80.470001,79.449997,80.160004,72.794586,5003400
2017-02-23,80.220001,81.430000,80.010002,80.860001,73.430260,6403500
2017-02-24,80.830002,81.750000,80.639999,81.480003,73.993294,5189200
2017-02-27,81.550003,81.860001,81.309998,81.410004,73.929726,4696200
2017-02-28,80.800003,81.129997,80.180000,80.580002,73.175987,7274900
2017-03-01,81.099998,81.379997,80.639999,80.699997,73.284966,4977500
2017-03-02,80.500000,81.559998,80.410004,81.349998,73.875229,5781200
2017-03-03,81.519997,81.690002,80.540001,81.019997,73.575554,5640600
2017-03-06,80.849998,81.290001,80.610001,80.849998,73.421188,4463900
2017-03-07,80.489998,81.000000,80.379997,80.809998,73.384850,6314200
2017-03-08,80.739998,81.519997,80.529999,81.040001,73.593712,5810400
2017-03-09,81.059998,81.410004,80.430000,80.699997,73.284966,5394400
2017-03-10,81.000000,81.070000,80.230003,80.400002,73.012527,6004400
2017-03-13,80.400002,80.589996,79.970001,80.440002,73.048851,6276800
2017-03-14,80.440002,80.589996,79.419998,79.889999,72.549377,5546200
2017-03-15,79.769997,80.220001,78.680000,79.730003,72.404091,7925500
2017-03-16,79.650002,79.980003,79.230003,79.559998,72.249702,6241100
2017-03-17,79.629997,79.650002,78.580002,78.879997,71.632195,19734800
2017-03-20,78.870003,79.110001,78.550003,78.820000,71.577705,5075800
2017-03-21,78.889999,79.010002,78.279999,78.610001,71.386993,6201300
2017-03-22,78.750000,78.870003,77.919998,78.459999,71.250786,5640700
2017-03-23,78.459999,78.730003,77.970001,78.300003,71.105492,9320900
2017-03-24,78.250000,78.660004,78.010002,78.489998,71.278015,3878600
2017-03-27,78.129997,78.949997,78.019997,78.510002,71.296188,4983500
2017-03-28,78.389999,78.949997,78.279999,78.610001,71.386993,5470000
2017-03-29,78.500000,78.860001,78.360001,78.760002,71.523216,3138200
2017-03-30,78.650002,79.110001,78.440002,78.849998,71.604965,3834600
2017-03-31,77.599998,78.610001,77.570000,78.500000,71.287109,7996100
2017-04-03,78.379997,78.550003,77.720001,78.050003,70.878464,7374100
2017-04-04,78.010002,78.220001,77.629997,77.870003,70.714989,5641000
2017-04-05,77.820000,77.870003,76.750000,77.029999,69.952187,13351900
2017-04-06,77.180000,77.220001,76.599998,77.010002,69.934006,6331000
2017-04-07,77.050003,77.220001,76.559998,77.080002,69.997581,5208000
2017-04-10,77.080002,77.849998,76.959999,77.809998,70.660500,4824300
2017-04-11,77.720001,78.190002,77.540001,78.169998,70.987411,4866700
2017-04-12,77.839996,78.150002,77.739998,77.959999,70.796715,4749800
2017-04-13,77.989998,78.360001,77.800003,77.959999,70.796715,3532000
2017-04-17,78.029999,78.739998,78.010002,78.730003,71.495979,4436100
2017-04-18,77.629997,78.500000,77.500000,78.250000,71.060081,7024300
2017-04-19,78.059998,78.089996,77.589996,77.830002,71.133194,4575600
2017-04-20,77.849998,79.540001,77.790001,79.430000,72.595528,6715400
2017-04-21,79.239998,79.500000,78.959999,79.279999,72.458427,6724300
2017-04-24,79.980003,80.190002,79.660004,80.050003,73.162178,6394100
2017-04-25,81.400002,82.410004,80.680000,82.169998,75.099754,8494300
2017-04-26,81.800003,82.180000,81.320000,82.000000,74.944389,5996900
2017-04-27,82.690002,82.900002,82.029999,82.790001,75.666428,6307300
2017-04-28,82.790001,82.870003,82.169998,82.440002,75.346535,6618400
2017-05-01,82.440002,82.800003,81.860001,81.959999,74.907814,7528700
2017-05-02,82.169998,83.300003,78.940002,79.000000,72.202522,15690000
2017-05-03,79.110001,80.230003,79.059998,79.699997,72.842293,6841500
2017-05-04,79.660004,81.150002,79.449997,81.129997,74.149254,6076500
2017-05-05,81.400002,81.510002,80.599998,81.059998,74.085266,3699200
2017-05-08,80.879997,81.320000,80.809998,81.050003,74.076149,2846300
2017-05-09,81.000000,81.480003,80.919998,81.099998,74.121826,3274300
2017-05-10,81.070000,81.559998,80.809998,80.940002,73.975609,3011400
2017-05-11,80.839996,82.459999,80.629997,82.279999,75.200294,6496000
2017-05-12,82.099998,82.400002,80.180000,80.209999,73.308418,9046600
2017-05-15,80.250000,80.940002,80.209999,80.470001,73.546059,7344700
2017-05-16,80.550003,80.680000,78.949997,79.120003,72.312202,5252200
2017-05-17,77.019997,77.629997,76.209999,76.330002,69.762276,13272700
2017-05-18,76.410004,77.470001,76.290001,76.620003,70.027306,7530500
2017-05-19,76.760002,77.000000,76.209999,76.320000,69.753120,5667200
2017-05-22,76.500000,76.629997,76.190002,76.339996,69.771393,7775000
2017-05-23,76.660004,77.830002,76.349998,77.269997,70.621376,7814300
2017-05-24,77.309998,77.540001,76.320000,76.419998,69.844513,5488800
2017-05-25,76.620003,76.690002,75.690002,75.949997,69.414963,5539200
2017-05-26,76.000000,76.650002,75.940002,76.639999,70.045593,3613000
2017-05-30,76.410004,76.980003,76.400002,76.769997,70.164398,5116600
2017-05-31,76.779999,76.970001,76.250000,76.830002,70.219238,6857200
2017-06-01,76.839996,78.290001,76.690002,78.290001,71.553612,4827300
2017-06-02,78.510002,79.080002,78.349998,79.050003,72.248215,6454100
2017-06-05,79.000000,79.050003,78.239998,78.790001,72.010574,6272300
2017-06-06,78.480003,78.519997,77.639999,77.900002,71.197174,4880800
2017-06-07,78.050003,78.370003,77.379997,78.160004,71.434807,5108500
2017-06-08,78.199997,78.559998,77.930000,78.430000,71.681580,4096400
2017-06-09,78.610001,79.739998,78.169998,79.709999,72.851433,5652600
2017-06-12,79.860001,80.910004,78.900002,79.680000,72.824013,6339700
2017-06-13,79.639999,79.989998,78.989998,79.849998,72.979393,5044300
2017-06-14,80.019997,80.860001,79.660004,80.800003,73.847641,5075900
2017-06-15,80.680000,80.900002,79.650002,80.089996,73.198730,4655800
2017-06-16,79.220001,79.459999,75.459999,77.059998,70.429443,15507200
2017-06-19,77.300003,78.099998,76.529999,78.099998,71.379959,5949700
2017-06-20,78.190002,78.570000,77.690002,77.779999,71.087509,5729100
2017-06-21,77.970001,79.070000,77.750000,78.160004,71.434807,4777400
2017-06-22,77.940002,78.239998,77.209999,77.220001,70.575676,5369700
2017-06-23,77.360001,77.940002,76.930000,77.410004,70.749329,21808600
2017-06-26,77.879997,80.580002,77.879997,80.120003,73.226166,8655700
2017-06-27,80.230003,81.150002,79.949997,80.489998,73.564308,8974300
2017-06-28,80.599998,82.000000,80.540001,81.250000,74.258934,6693100
2017-06-29,81.650002,82.150002,79.540001,80.269997,73.363235,6378800
2017-06-30,80.519997,80.709999,79.779999,80.459999,73.536896,4425700
2017-07-03,80.769997,81.339996,80.459999,80.620003,73.683136,2379800
2017-07-05,80.400002,80.629997,79.650002,79.660004,72.805725,4695700
2017-07-06,79.809998,79.930000,78.660004,78.709999,71.937469,4425500
2017-07-07,78.800003,79.129997,78.050003,78.639999,71.873505,3442500
2017-07-10,78.639999,78.860001,77.769997,78.139999,71.416519,4852700
2017-07-11,78.180000,78.230003,77.360001,77.639999,70.959557,4656100
2017-07-12,77.889999,78.430000,77.349998,77.449997,70.785896,4671800
2017-07-13,77.669998,78.239998,77.610001,77.919998,71.215454,4885800
2017-07-14,77.940002,78.279999,77.660004,77.930000,71.224602,4130300
2017-07-17,78.190002,78.449997,77.900002,78.300003,71.562759,4642800
2017-07-18,78.250000,78.379997,77.489998,78.000000,71.288567,4808500
2017-07-19,78.120003,78.739998,77.339996,77.389999,70.731056,6929700
2017-07-20,77.120003,77.599998,76.480003,77.160004,70.979431,6117500
2017-07-21,77.089996,77.370003,76.610001,77.029999,70.859848,3429300
2017-07-24,76.930000,77.349998,76.669998,77.099998,70.924232,2967300
2017-07-25,77.480003,78.970001,77.250000,78.910004,72.589256,4683700
2017-07-26,78.970001,78.970001,77.029999,78.290001,72.018921,6600300
2017-07-27,78.180000,78.919998,77.629997,78.919998,72.598457,3751700
2017-07-28,78.910004,79.949997,78.839996,79.750000,73.361977,3974400
2017-07-31,80.000000,80.610001,79.620003,79.930000,73.527542,5058800
2017-08-01,79.900002,80.300003,79.449997,79.699997,73.315979,4147700
2017-08-02,79.610001,80.279999,79.500000,79.750000,73.361977,4534600
2017-08-03,79.379997,79.809998,78.529999,78.599998,72.304085,5055200
2017-08-04,79.220001,79.250000,77.919998,77.970001,71.724541,6059700
2017-08-07,78.000000,79.279999,77.989998,79.120003,72.782433,4604000
2017-08-08,78.639999,79.000000,76.720001,78.570000,72.276482,8639800
2017-08-09,78.430000,79.489998,78.059998,79.430000,73.067604,4902200
2017-08-10,79.110001,80.300003,78.889999,79.139999,72.800827,4612800
2017-08-11,78.949997,79.809998,78.949997,79.410004,73.049187,2985500
2017-08-14,79.540001,80.139999,79.169998,79.300003,72.948013,3800600
2017-08-15,79.459999,79.669998,78.910004,79.110001,72.773232,3104200
2017-08-16,79.440002,80.129997,79.000000,79.250000,72.902016,3573900
2017-08-17,79.070000,79.779999,78.870003,78.889999,72.570854,4470500
2017-08-18,78.449997,78.750000,77.550003,77.660004,71.439392,5005400
2017-08-21,77.690002,77.919998,77.519997,77.639999,71.420982,3636900
2017-08-22,77.849998,78.389999,77.650002,77.760002,71.531364,5409100
2017-08-23,77.500000,77.879997,77.099998,77.610001,71.393387,3343300
2017-08-24,77.190002,77.639999,74.589996,75.389999,69.351212,9495500
2017-08-25,75.570000,76.279999,75.330002,75.349998,69.314407,6416500
2017-08-28,75.500000,75.959999,75.169998,75.459999,69.415596,5068300
2017-08-29,75.430000,76.320000,75.000000,76.089996,69.995140,4516200
2017-08-30,76.089996,76.660004,75.980003,76.379997,70.261894,3607000
2017-08-31,76.500000,77.779999,76.489998,77.339996,71.144997,5518700
2017-09-01,77.540001,78.440002,77.300003,77.919998,71.678558,4653600
2017-09-05,77.610001,78.949997,77.529999,78.690002,72.386871,4469000
2017-09-06,78.830002,80.000000,78.830002,79.879997,73.481552,5106200
2017-09-07,79.980003,80.610001,79.550003,80.410004,73.969101,5556100
2017-09-08,80.010002,80.550003,79.480003,79.720001,73.334373,4252900
2017-09-11,80.000000,80.000000,79.330002,79.720001,73.334373,3784300
2017-09-12,80.000000,82.790001,79.830002,82.430000,75.827301,8048700
2017-09-13,82.300003,83.690002,82.129997,83.080002,76.425240,6813800
2017-09-14,82.879997,83.059998,82.370003,82.639999,76.020485,4583500
2017-09-15,82.209999,83.360001,81.480003,83.169998,76.508026,7483200
2017-09-18,83.190002,83.529999,82.860001,83.309998,76.636803,4333300
2017-09-19,83.750000,84.000000,82.900002,83.099998,76.443619,4568200
2017-09-20,83.199997,83.760002,80.160004,80.699997,74.235863,9944300
2017-09-21,80.650002,80.720001,79.180000,79.559998,73.187180,5253400
2017-09-22,79.199997,79.900002,78.620003,79.629997,73.251572,6534100
2017-09-25,79.820000,81.620003,79.629997,81.370003,74.852211,5065300
2017-09-26,81.430000,81.889999,81.150002,81.650002,75.109772,2785800
2017-09-27,81.720001,82.000000,80.800003,81.470001,74.944191,3308400
2017-09-28,81.260002,81.480003,80.730003,81.260002,74.751022,3442200
2017-09-29,81.389999,81.680000,80.809998,81.320000,74.806213,4118100
2017-10-02,81.349998,81.610001,80.599998,80.769997,74.300262,4688500
2017-10-03,80.519997,81.309998,80.519997,80.910004,74.429054,6732600
2017-10-04,80.900002,80.959999,79.930000,80.070000,73.656334,4356800
2017-10-05,80.099998,80.940002,80.050003,80.900002,74.419853,6090800
2017-10-06,80.389999,80.470001,76.540001,76.919998,70.758667,11795600
2017-10-09,77.050003,77.220001,73.760002,74.300003,68.348526,13362400
2017-10-10,74.290001,75.430000,73.300003,74.709999,68.725685,10715900
2017-10-11,74.709999,74.970001,73.779999,73.900002,67.980560,7087400
2017-10-12,73.900002,74.570000,73.510002,73.779999,67.870163,6176400
2017-10-13,74.110001,74.199997,72.519997,72.599998,66.784683,6716300
2017-10-16,72.500000,73.400002,72.120003,72.440002,66.637512,5916900
2017-10-17,72.410004,72.910004,72.120003,72.629997,66.812263,6068700
2017-10-18,72.879997,74.559998,72.279999,74.099998,68.164528,10479600
2017-10-19,74.260002,75.199997,74.199997,74.629997,68.652077,8056700
2017-10-20,74.980003,76.500000,74.519997,76.489998,70.363091,9144900
2017-10-23,76.029999,76.480003,75.790001,75.910004,70.289009,7487100
2017-10-24,76.169998,76.430000,75.400002,76.010002,70.381615,5940200
2017-10-25,76.480003,76.620003,74.480003,75.529999,69.937149,6648700
2017-10-26,75.790001,76.470001,70.779999,73.309998,67.881538,21982500
2017-10-27,73.889999,74.989998,68.160004,68.989998,63.881420,32616300
2017-10-30,68.769997,69.660004,68.010002,68.449997,63.381428,10400900
2017-10-31,68.360001,69.339996,68.360001,68.529999,63.455479,7199300
2017-11-01,68.820000,69.529999,68.190002,69.000000,63.890678,8433800
2017-11-02,69.139999,69.919998,69.110001,69.379997,64.242554,5378500
2017-11-03,69.300003,69.669998,68.120003,69.250000,64.122185,9901200
2017-11-06,68.230003,69.820000,66.449997,66.800003,61.853596,14183100
2017-11-07,66.860001,69.419998,66.680000,68.949997,63.844387,12134800
2017-11-08,68.910004,69.089996,68.400002,68.989998,63.881420,8661700
2017-11-09,69.199997,69.430000,68.459999,69.019997,63.909214,6992100
2017-11-10,69.629997,71.510002,69.190002,70.989998,65.733337,10300000
2017-11-13,71.180000,74.000000,70.290001,71.480003,66.187050,9874900
2017-11-14,71.150002,71.440002,69.910004,70.440002,65.224052,5964000
2017-11-15,70.000000,70.379997,69.400002,69.800003,64.631454,5333900
2017-11-16,70.099998,71.050003,69.550003,70.260002,65.057388,6447600
2017-11-17,70.250000,71.029999,70.000000,70.680000,65.446289,5382200
2017-11-20,70.580002,71.000000,69.769997,70.379997,65.168495,8490300
2017-11-21,70.680000,71.629997,70.529999,71.500000,66.205574,9609100
2017-11-22,71.389999,72.070000,71.199997,71.480003,66.187050,5315400
2017-11-24,71.889999,71.930000,70.500000,70.550003,65.325920,2992900
2017-11-27,70.620003,70.940002,70.209999,70.400002,65.187019,6146300
2017-11-28,70.639999,72.709999,70.000000,72.699997,67.316711,8348500
2017-11-29,72.760002,74.680000,72.750000,73.400002,67.964874,7329900
2017-11-30,73.690002,77.790001,73.550003,76.599998,70.927925,20281300
2017-12-01,75.620003,76.589996,73.629997,75.120003,69.557518,10586500
2017-12-04,72.949997,73.279999,70.190002,71.690002,66.381500,40464600
2017-12-05,71.919998,72.150002,70.500000,71.010002,65.751846,15424000
2017-12-06,70.620003,71.570000,70.199997,71.379997,66.094452,12371700
2017-12-07,71.129997,71.330002,69.519997,71.089996,65.825912,12365800
2017-12-08,73.089996,73.800003,70.889999,73.089996,67.677826,12510500
2017-12-11,72.910004,73.599998,72.559998,73.080002,67.668587,6687000
2017-12-12,72.849998,73.190002,72.169998,72.849998,67.455605,8233100
2017-12-13,72.769997,72.900002,71.000000,71.620003,66.316681,9940400
2017-12-14,71.629997,71.889999,70.470001,70.800003,65.557404,8214300
2017-12-15,71.330002,73.680000,70.760002,73.080002,67.668587,14334100
2017-12-18,73.169998,73.389999,71.650002,71.669998,66.362991,12709300
2017-12-19,71.650002,72.980003,71.599998,72.309998,66.955589,11825600
2017-12-20,72.650002,74.180000,72.610001,73.559998,68.113022,10571600
2017-12-21,73.510002,75.870003,73.389999,74.639999,69.113060,10518500
2017-12-22,74.610001,74.720001,73.300003,73.410004,67.974152,5282400
2017-12-26,73.500000,74.000000,72.760002,73.680000,68.224152,4801700
2017-12-27,73.809998,73.900002,72.650002,72.760002,67.372276,5248600
2017-12-28,72.870003,73.230003,72.470001,73.050003,67.640785,4196600
2017-12-29,72.959999,73.099998,72.440002,72.500000,67.131523,4757500
2018-01-02,73.059998,74.029999,72.870003,73.519997,68.075989,5878300
2018-01-03,73.730003,73.900002,73.059998,73.199997,67.779686,6139500
2018-01-04,75.190002,76.669998,74.680000,75.129997,69.566765,13715500
2018-01-05,76.309998,78.559998,76.139999,78.449997,72.640938,15338100
2018-01-08,78.320000,78.779999,77.150002,77.769997,72.011299,9589200
2018-01-09,77.980003,78.330002,77.440002,77.690002,71.937202,7778400
2018-01-10,77.160004,77.629997,76.599998,77.440002,71.705719,8772200
2018-01-11,78.010002,79.059998,77.680000,79.019997,73.168739,7158200
2018-01-12,78.919998,79.680000,78.510002,78.779999,72.946503,7098200
2018-01-16,78.830002,80.150002,78.830002,79.440002,73.557632,8437300
2018-01-17,79.599998,79.970001,78.930000,79.500000,73.613190,7448700
2018-01-18,79.919998,80.690002,79.260002,79.349998,73.474289,8065800
2018-01-19,79.580002,80.040001,79.110001,79.860001,73.946533,7963600
2018-01-22,80.089996,80.980003,79.930000,80.949997,74.955826,7016200
2018-01-23,80.480003,80.699997,79.699997,80.440002,74.946503,5780600
2018-01-24,80.760002,81.190002,80.349998,80.919998,75.393715,7308500
2018-01-25,81.300003,81.989998,80.760002,81.580002,76.008659,6357400
2018-01-26,81.639999,82.010002,80.919998,82.010002,76.409286,5883300
2018-01-29,82.000000,83.879997,81.750000,83.629997,77.918640,8372900
2018-01-30,78.489998,80.940002,78.180000,80.190002,74.713585,16517900
2018-01-31,80.599998,81.269997,78.040001,78.690002,73.316010,12472400
2018-02-01,78.300003,79.199997,77.599998,78.790001,73.409187,9150000
2018-02-02,78.360001,78.540001,75.580002,76.449997,71.228989,10395600
2018-02-05,75.309998,76.400002,73.290001,73.320000,68.312752,12199500
2018-02-06,72.500000,74.650002,71.769997,74.019997,68.964935,11241200
2018-02-07,73.839996,75.559998,73.570000,74.349998,69.272415,9611100
2018-02-08,74.000000,75.339996,70.500000,70.550003,65.731926,11725200
2018-02-09,71.010002,71.349998,67.309998,69.389999,64.651138,16718500
2018-02-12,70.089996,70.639999,69.500000,69.870003,65.098373,8943800
2018-02-13,69.709999,71.220001,69.599998,70.110001,65.321960,8796200
2018-02-14,69.660004,70.220001,69.559998,69.790001,65.023811,6577000
2018-02-15,70.589996,70.940002,69.089996,70.489998,65.676018,6770200
2018-02-16,70.370003,72.209999,70.320000,71.900002,66.989723,6469900
2018-02-20,71.250000,71.449997,69.730003,70.660004,65.834412,6415200
2018-02-21,70.589996,70.900002,68.720001,68.760002,64.064156,10624800
2018-02-22,68.959999,69.139999,67.559998,68.000000,63.356060,10061500
2018-02-23,68.510002,68.779999,67.430000,68.160004,63.505142,5804800
2018-02-26,68.199997,68.470001,67.570000,68.230003,63.570358,7837600
2018-02-27,69.300003,69.660004,68.120003,68.250000,63.588993,7391900
2018-02-28,68.370003,68.690002,67.610001,67.730003,63.104511,10799800
2018-03-01,67.699997,68.529999,66.760002,67.150002,62.564121,9556400
2018-03-02,67.110001,67.610001,66.629997,67.459999,62.852936,10613900
2018-03-05,67.500000,68.599998,66.989998,68.309998,63.644894,7754200
2018-03-06,68.379997,68.470001,67.059998,67.650002,63.029976,8838300
2018-03-07,66.959999,67.889999,66.540001,67.510002,62.899525,6790100
2018-03-08,67.849998,69.360001,67.849998,68.360001,63.691483,8374000
2018-03-09,68.769997,69.370003,68.230003,69.269997,64.539330,5795600
2018-03-12,69.269997,69.559998,68.769997,69.010002,64.297089,4752600
2018-03-13,69.269997,69.330002,68.080002,68.250000,63.588993,7210600
2018-03-14,68.309998,68.500000,66.629997,67.050003,62.470947,7622400
2018-03-15,67.230003,67.580002,65.660004,65.860001,61.362206,9485300
2018-03-16,66.089996,66.449997,65.650002,65.650002,61.166561,15281600
2018-03-19,65.720001,65.879997,63.310001,63.630001,59.284500,8883200
2018-03-20,63.970001,64.089996,61.869999,62.939999,58.641628,9700600
2018-03-21,62.959999,63.240002,62.400002,62.419998,58.157143,7525700
2018-03-22,62.060001,63.259998,61.740002,61.790001,57.570164,8590500
2018-03-23,62.000000,62.450001,60.779999,60.860001,56.703678,6976900
2018-03-26,61.279999,61.830002,61.049999,61.599998,57.393135,7496700
2018-03-27,61.730000,61.869999,60.139999,60.599998,56.461433,7843700
2018-03-28,60.880001,62.970001,60.810001,62.709999,58.427334,10253800
2018-03-29,62.689999,63.400002,61.340000,62.209999,57.961479,8096400
2018-04-02,62.060001,62.200001,60.450001,61.040001,56.871384,7863600
2018-04-03,61.570000,62.720001,61.130001,62.580002,58.306221,7793800
2018-04-04,62.380001,64.989998,62.119999,64.279999,59.890118,10281600
2018-04-05,64.489998,65.160004,64.199997,64.660004,60.244171,5471500
2018-04-06,64.370003,64.769997,62.860001,63.380001,59.051579,5114800
2018-04-09,63.639999,64.529999,62.770000,63.310001,58.986362,6096500
2018-04-10,63.720001,64.320000,63.040001,63.970001,59.601295,6417000
2018-04-11,63.880001,64.300003,62.910000,63.070000,58.762753,7493700
2018-04-12,63.709999,64.339996,63.480000,64.000000,59.629238,5500000
2018-04-13,64.230003,64.400002,62.669998,63.430000,59.098167,5825200
2018-04-16,63.779999,68.919998,63.250000,66.099998,61.585815,19008400
2018-04-17,66.910004,67.379997,65.239998,67.110001,62.526844,11059100
2018-04-18,67.070000,67.910004,66.559998,66.610001,62.060993,6047900
2018-04-19,66.650002,66.839996,65.120003,65.860001,61.362206,6371800
2018-04-20,65.660004,66.290001,64.690002,65.120003,61.136887,6169600
2018-04-23,65.510002,65.930000,64.949997,65.680000,61.662632,6282800
2018-04-24,65.860001,67.250000,65.760002,66.599998,62.526363,10204500
2018-04-25,66.250000,68.089996,66.180000,67.730003,63.587254,7379300
2018-04-26,67.760002,69.379997,67.699997,68.690002,64.488541,10664500
2018-04-27,68.820000,71.080002,68.610001,69.949997,65.671463,7486500
2018-04-30,70.139999,70.629997,69.000000,69.830002,65.558807,18378800
2018-05-01,69.230003,69.750000,68.000000,68.000000,63.840729,9569900
2018-05-02,66.989998,67.500000,65.510002,65.940002,61.906734,14322500
2018-05-03,65.779999,65.830002,62.250000,62.270000,58.461216,17123400
2018-05-04,62.040001,63.389999,61.310001,63.099998,59.240448,12251800
2018-05-07,63.119999,63.250000,61.389999,61.750000,57.973019,11944900
2018-05-08,62.000000,62.000000,60.320000,60.709999,56.996632,10412800
2018-05-09,60.889999,62.360001,60.650002,61.209999,57.466049,9062300
2018-05-10,61.700001,63.619999,61.560001,62.439999,58.620815,10115800
2018-05-11,62.709999,65.610001,60.900002,64.410004,60.470325,15335100
2018-05-14,64.610001,67.070000,64.580002,66.820000,62.732910,12415100
2018-05-15,66.480003,66.820000,65.480003,65.839996,61.812847,6510100
2018-05-16,66.099998,66.449997,65.589996,66.129997,62.085106,5965300
2018-05-17,66.059998,66.300003,65.519997,65.760002,61.737747,6605200
2018-05-18,65.980003,66.089996,64.589996,64.919998,60.949123,4734500
2018-05-21,65.099998,65.669998,64.739998,65.500000,61.493652,4958900
2018-05-22,65.690002,66.589996,65.419998,65.620003,61.606308,4183600
2018-05-23,65.379997,65.820000,64.860001,65.570000,61.559364,5965400
2018-05-24,65.529999,65.650002,64.339996,65.120003,61.136887,4706800
2018-05-25,65.120003,66.529999,64.940002,66.029999,61.991230,5559800
2018-05-29,65.449997,65.980003,64.599998,64.800003,60.836472,8248000
2018-05-30,65.059998,66.029999,64.760002,65.989998,61.953678,6522900
2018-05-31,65.839996,65.860001,63.360001,63.389999,59.512711,13403100
2018-06-01,63.849998,64.209999,63.439999,64.070000,60.151115,5503000
2018-06-04,64.080002,64.529999,63.639999,64.099998,60.179283,11423800
2018-06-05,63.919998,64.320000,62.660000,63.330002,59.456383,8008800
2018-06-06,63.669998,65.110001,63.349998,65.080002,61.099339,6529400
2018-06-07,65.120003,65.650002,64.650002,65.019997,61.043003,5814300
2018-06-08,65.269997,66.070000,65.010002,66.029999,61.991230,5473800
2018-06-11,66.099998,67.730003,65.790001,66.940002,62.845570,8261800
2018-06-12,67.120003,67.339996,65.449997,66.349998,62.291660,9915000
2018-06-13,68.000000,69.629997,67.290001,68.410004,64.225662,13830700
2018-06-14,68.699997,69.480003,68.099998,69.120003,64.892235,8630900
2018-06-15,68.940002,70.250000,68.839996,70.089996,65.802887,13025200
2018-06-18,69.279999,69.480003,67.629997,67.739998,63.596642,7482800
2018-06-19,67.720001,71.330002,67.500000,70.769997,66.441292,11019600
2018-06-20,70.599998,72.129997,69.790001,71.599998,67.220543,9279300
2018-06-21,71.930000,72.919998,70.809998,71.080002,66.732346,6157500
2018-06-22,71.589996,72.629997,71.040001,72.180000,67.765068,8784200
2018-06-25,71.690002,72.220001,70.400002,71.430000,67.060936,6735000
2018-06-26,71.500000,71.750000,69.519997,69.809998,65.540024,6579700
2018-06-27,69.769997,70.430000,69.239998,70.050003,65.765350,6376400
2018-06-28,64.190002,66.330002,63.040001,65.779999,61.756527,26157400
2018-06-29,65.879997,65.989998,64.339996,64.349998,60.413986,10754700
2018-07-02,63.939999,65.290001,63.709999,65.169998,61.183838,7449400
2018-07-03,65.400002,65.400002,64.279999,64.500000,60.554813,3242900
2018-07-05,65.099998,65.389999,64.440002,65.089996,61.108727,6678800
2018-07-06,64.959999,66.730003,64.680000,66.480003,62.413708,7108200
2018-07-09,67.419998,68.690002,67.160004,67.639999,63.502747,8026500
2018-07-10,68.400002,68.769997,67.709999,68.239998,64.066055,6329800
2018-07-11,67.940002,67.940002,66.809998,67.300003,63.183552,5926800
2018-07-12,67.940002,70.339996,67.169998,67.989998,63.831356,14054100
2018-07-13,67.989998,69.550003,67.989998,68.629997,64.432198,5592100
2018-07-16,68.669998,68.779999,68.110001,68.239998,64.066055,4594100
2018-07-17,68.239998,68.300003,67.360001,67.940002,63.784412,5312600
2018-07-18,67.849998,68.360001,67.559998,67.900002,63.746864,5129500
2018-07-19,67.559998,67.750000,64.760002,66.139999,62.094501,9621100
2018-07-20,65.750000,65.980003,65.059998,65.260002,61.268326,6331200
2018-07-23,65.349998,66.570000,65.330002,66.339996,62.282276,5456900
2018-07-24,65.809998,66.209999,65.309998,65.580002,62.036320,6764600
2018-07-25,65.300003,66.000000,65.139999,65.989998,62.424164,4586500
2018-07-26,66.239998,66.739998,66.160004,66.339996,62.755260,4579200
2018-07-27,65.959999,67.050003,65.930000,66.669998,63.067429,4545200
